Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
101601.2      08-03-2010    15:42:30,SetA
101601.2,SetA, 1 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 20 , 0 , 0 ," $0.50 now","$10 in 365 days"
101601.2,SetA, 2 ,56086.160,56086.160,0.111,  19.892,  0.000,  21.908,   4 , 13 , 1 , 0 ," $4.00 now","$10 in 180 days"
101601.2,SetA, 3 ,56108.460,56108.460,0.107,  10.685,  0.000,  11.904,   4 , 7 , 1 , 0 ," $7.00 now","$10 in 180 days"
101601.2,SetA, 4 ,56120.760,56120.760,0.045,  0.000,  11.076,  12.217,   3 , 2 , 2 , 0 ,"$10 in 90 days"," $9.50 now"
101601.2,SetA, 5 ,56133.360,56133.360,0.112,  11.377,  0.000,  14.299,   0 , 3 , 1 , 0 ,"$10 now"," $9.00 now"
101601.2,SetA, 6 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 14 , 0 , 0 ," $3.50 now","$10 in 365 days"
101601.2,SetA, 7 ,56148.050,56148.050,0.092,  4.607,  0.000,  5.482,   2 , 16 , 1 , 0 ," $2.50 now","$10 in 30 days"
101601.2,SetA, 8 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 9 , 0 , 0 ,"$10 now"," $6.00 now"
101601.2,SetA, 9 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 10 , 0 , 0 ," $5.50 now","$10 in 365 days"
101601.2,SetA, 10 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 6 , 0 , 0 ,"$10 now"," $7.50 now"
101601.2,SetA, 11 ,56153.950,56153.950,-0.001,  9.186,  0.000,  9.983,   4 , 22 , 1 , 0 ,"$10 in 180 days"," $0.00 now"
101601.2,SetA, 12 ,56164.320,56164.320,0.014,  0.000,  4.827,  5.765,   2 , 3 , 2 , 0 ,"$10 in 30 days"," $9.00 now"
101601.2,SetA, 13 ,56170.480,56170.480,0.108,  4.936,  0.000,  6.248,   1 , 19 , 1 , 0 ," $1.00 now","$10 in 7 days"
101601.2,SetA, 14 ,56177.120,56177.120,-0.001,  0.000,  3.546,  4.515,   2 , 20 , 2 , 0 ," $0.50 now","$10 in 30 days"
101601.2,SetA, 15 ,56182.020,56182.020,0.109,  4.077,  0.000,  5.077,   1 , 5 , 1 , 0 ," $8.00 now","$10 in 7 days"
101601.2,SetA, 16 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 22 , 0 , 0 ,"$10 now"," $0.00 now"
101601.2,SetA, 17 ,56187.490,56187.490,-0.001,  3.374,  0.000,  4.405,   1 , 17 , 1 , 0 ," $2.00 now","$10 in 7 days"
101601.2,SetA, 18 ,56192.290,56192.290,0.108,  0.000,  3.640,  4.624,   3 , 11 , 2 , 0 ,"$10 in 90 days"," $5.00 now"
101601.2,SetA, 19 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 12 , 0 , 0 ," $4.50 now","$10 in 365 days"
