Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
11087         05-21-2012    14:50:14,SetA
11087,SetA, 1 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ," $5.00 now","$10 in 365 days"
11087,SetA, 2 ,53157.570,53157.570,0.001,  0.000,  18.791,  19.676,   1 , 9 , 2 , 0 ,"$10 in 7 days"," $6.00 now"
11087,SetA, 3 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 3 , 0 , 0 ,"$10 in 365 days"," $9.00 now"
11087,SetA, 4 ,53177.620,53177.620,0.002,  0.000,  4.932,  5.523,   4 , 9 , 2 , 0 ,"$10 in 180 days"," $6.00 now"
11087,SetA, 5 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 6 , 0 , 0 ," $7.50 now","$10 in 365 days"
11087,SetA, 6 ,53183.510,53183.510,0.104,  8.694,  0.000,  9.491,   3 , 4 , 1 , 0 ," $8.50 now","$10 in 90 days"
11087,SetA, 7 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 15 , 0 , 0 ,"$10 in 365 days"," $3.00 now"
11087,SetA, 8 ,53193.370,53193.370,0.105,  12.149,  0.000,  12.828,   4 , 5 , 1 , 0 ," $8.00 now","$10 in 180 days"
11087,SetA, 9 ,53206.560,53206.560,0.105,  6.674,  0.000,  7.456,   1 , 18 , 1 , 0 ," $1.50 now","$10 in 7 days"
11087,SetA, 10 ,53214.390,53214.390,0.103,  0.000,  4.206,  5.210,   1 , 0 , 2 , 0 ,"$10 in 7 days"," $10.50 now"
11087,SetA, 11 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 2 , 0 , 0 ," $9.50 now","$10 in 365 days"
11087,SetA, 12 ,53219.960,53219.960,0.045,  0.000,  7.130,  8.842,   2 , 20 , 2 , 0 ,"$10 in 30 days"," $0.50 now"
11087,SetA, 13 ,53229.180,53229.180,0.104,  3.868,  0.000,  5.314,   4 , 11 , 1 , 0 ," $5.00 now","$10 in 180 days"
