Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8031_1_Y3     11-26-2014    10:14:19,SetA
8031_1_Y3,SetA, 1 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 7 , 0 , 0 ,"$10 now"," $7.00 now"
8031_1_Y3,SetA, 2 ,36542.080,36542.080,-0.001,  2.027,  0.000,  3.353,   0 , 2 , 1 , 0 ,"$10 now"," $9.50 now"
8031_1_Y3,SetA, 3 ,36545.820,36545.820,0.032,  2.122,  0.000,  3.027,   3 , 17 , 1 , 0 ,"$10 in 90 days"," $2.00 now"
8031_1_Y3,SetA, 4 ,36549.240,36549.240,0.108,  1.575,  0.000,  2.370,   2 , 12 , 1 , 0 ,"$10 in 30 days"," $4.50 now"
8031_1_Y3,SetA, 5 ,36552.000,36552.000,0.061,  2.214,  0.000,  2.869,   2 , 7 , 1 , 0 ,"$10 in 30 days"," $7.00 now"
8031_1_Y3,SetA, 6 ,36555.260,36555.260,0.016,  1.623,  0.000,  2.434,   1 , 9 , 1 , 0 ,"$10 in 7 days"," $6.00 now"
8031_1_Y3,SetA, 7 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 19 , 0 , 0 ,"$10 now"," $1.00 now"
8031_1_Y3,SetA, 8 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 4 , 0 , 0 ,"$10 now"," $8.50 now"
8031_1_Y3,SetA, 9 ,36558.090,36558.090,0.000,  2.668,  0.000,  3.994,   2 , 3 , 1 , 0 ,"$10 in 30 days"," $9.00 now"
8031_1_Y3,SetA, 10 ,36562.470,36562.470,0.017,  7.520,  5.399,  8.472,   1 , 0 , 1 , 0 ," $10.50 now","$10 in 7 days"
8031_1_Y3,SetA, 11 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
8031_1_Y3,SetA, 12 ,36571.330,36571.330,-0.001,  2.042,  0.000,  3.150,   4 , 12 , 1 , 0 ,"$10 in 180 days"," $4.50 now"
8031_1_Y3,SetA, 13 ,36574.870,36574.870,0.001,  0.000,  6.506,  7.739,   4 , 8 , 2 , 0 ," $6.50 now","$10 in 180 days"
8031_1_Y3,SetA, 14 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ,"$10 in 180 days"," $0.25 now"
8031_1_Y3,SetA, 15 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ,"$10 in 365 days"," $0.25 now"
8031_1_Y3,SetA, 16 ,36583.000,36583.000,0.031,  0.748,  0.000,  1.653,   2 , 14 , 1 , 0 ,"$10 in 30 days"," $3.50 now"
8031_1_Y3,SetA, 17 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 13 , 0 , 0 ,"$10 in 365 days"," $4.00 now"
8031_1_Y3,SetA, 18 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   2 , 21 , 0 , 0 ,"$10 in 30 days"," $0.25 now"
8031_1_Y3,SetA, 19 ,36585.040,36585.040,0.016,  1.529,  0.000,  2.434,   1 , 22 , 1 , 0 ,"$10 in 7 days"," $0.00 now"
