Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8286_1_Y1     06-23-2014    15:26:11,SetA
8286_1_Y1,SetA, 1 ,55104.130,0.000,0.001,  0.000,  7.224,  11.015,   1 , 20 , 2 , 0 ," $0.50 now","$10 in 7 days"
8286_1_Y1,SetA, 2 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 12 , 0 , 0 ,"$10 in 365 days"," $4.50 now"
8286_1_Y1,SetA, 3 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 6 , 0 , 0 ," $7.50 now","$10 in 365 days"
8286_1_Y1,SetA, 4 ,55115.530,11.406,0.045,  6.691,  0.000,  8.001,   1 , 9 , 1 , 0 ," $6.00 now","$10 in 7 days"
8286_1_Y1,SetA, 5 ,55123.920,19.797,0.000,  5.585,  0.000,  7.426,   1 , 6 , 1 , 0 ," $7.50 now","$10 in 7 days"
8286_1_Y1,SetA, 6 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
8286_1_Y1,SetA, 7 ,55131.740,27.613,0.640,  0.000,  4.306,  5.226,   2 , 14 , 2 , 0 ,"$10 in 30 days"," $3.50 now"
8286_1_Y1,SetA, 8 ,55137.360,33.230,0.155,  6.894,  0.000,  7.783,   2 , 10 , 1 , 0 ," $5.50 now","$10 in 30 days"
8286_1_Y1,SetA, 9 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 16 , 0 , 0 ,"$10 now"," $2.50 now"
8286_1_Y1,SetA, 10 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ," $0.25 now","$10 in 180 days"
8286_1_Y1,SetA, 11 ,55145.530,41.402,0.079,  0.000,  5.212,  7.443,   4 , 2 , 2 , 0 ,"$10 in 180 days"," $9.50 now"
8286_1_Y1,SetA, 12 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ," $5.00 now","$10 in 365 days"
8286_1_Y1,SetA, 13 ,55153.360,49.234,0.094,  0.000,  9.095,  10.094,   4 , 18 , 2 , 0 ," $1.50 now","$10 in 180 days"
8286_1_Y1,SetA, 14 ,55163.840,59.719,0.919,  0.000,  4.601,  5.318,   2 , 19 , 2 , 0 ," $1.00 now","$10 in 30 days"
