Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8071_1_Y3     02-11-2015    16:02:53,SetA
8071_1_Y3,SetA, 1 ,57387.840,0.000,0.000,  6.021,  0.000,  6.723,   1 , 13 , 1 , 0 ,"$10 in 7 days"," $4.00 now"
8071_1_Y3,SetA, 2 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 1 , 0 , 0 ,"$10 now"," $10.00 now"
8071_1_Y3,SetA, 3 ,57394.950,7.113,0.000,  0.000,  7.925,  9.610,   1 , 11 , 2 , 0 ," $5.00 now","$10 in 7 days"
8071_1_Y3,SetA, 4 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 4 , 0 , 0 ,"$10 now"," $8.50 now"
8071_1_Y3,SetA, 5 ,57404.950,17.113,0.000,  13.197,  0.000,  13.821,   2 , 7 , 1 , 0 ,"$10 in 30 days"," $7.00 now"
8071_1_Y3,SetA, 6 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 12 , 0 , 0 ,"$10 now"," $4.50 now"
8071_1_Y3,SetA, 7 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 4 , 0 , 0 ,"$10 in 365 days"," $8.50 now"
8071_1_Y3,SetA, 8 ,57419.160,31.324,0.000,  2.387,  0.000,  3.058,   3 , 14 , 1 , 0 ,"$10 in 90 days"," $3.50 now"
8071_1_Y3,SetA, 9 ,57422.610,34.773,0.000,  0.000,  3.010,  4.086,   2 , 2 , 2 , 0 ," $9.50 now","$10 in 30 days"
8071_1_Y3,SetA, 10 ,57427.090,39.250,0.000,  0.000,  7.784,  8.891,   1 , 1 , 2 , 0 ,"$10 in 7 days"," $10.00 now"
8071_1_Y3,SetA, 11 ,57436.370,48.531,0.000,  0.000,  2.403,  3.042,   2 , 1 , 2 , 0 ,"$10 in 30 days"," $10.00 now"
8071_1_Y3,SetA, 12 ,57439.800,51.965,0.000,  0.000,  7.049,  7.549,   4 , 6 , 2 , 0 ," $7.50 now","$10 in 180 days"
8071_1_Y3,SetA, 13 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 1 , 0 , 0 ,"$10 in 365 days"," $10.00 now"
8071_1_Y3,SetA, 14 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 8 , 0 , 0 ,"$10 in 365 days"," $6.50 now"
8071_1_Y3,SetA, 15 ,57447.740,59.902,0.000,  0.000,  8.675,  9.159,   3 , 1 , 2 , 0 ,"$10 in 90 days"," $10.00 now"
8071_1_Y3,SetA, 16 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   3 , 21 , 0 , 0 ," $0.25 now","$10 in 90 days"
8071_1_Y3,SetA, 17 ,57457.290,69.449,0.000,  5.337,  0.000,  6.008,   4 , 14 , 1 , 0 ,"$10 in 180 days"," $3.50 now"
8071_1_Y3,SetA, 18 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 0 , 0 , 0 ,"$10 in 365 days"," $10.50 now"
8071_1_Y3,SetA, 19 ,57463.680,75.848,0.000,  1.918,  0.000,  2.698,   1 , 20 , 1 , 0 ,"$10 in 7 days"," $0.50 now"
8071_1_Y3,SetA, 20 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 5 , 0 , 0 ," $8.00 now","$10 in 365 days"
8071_1_Y3,SetA, 21 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 15 , 0 , 0 ,"$10 in 365 days"," $3.00 now"
8071_1_Y3,SetA, 22 ,57466.770,78.938,0.000,  2.401,  0.000,  4.803,   4 , 12 , 1 , 0 ,"$10 in 180 days"," $4.50 now"
8071_1_Y3,SetA, 23 ,57471.960,84.129,0.000,  6.709,  0.000,  9.970,   1 , 14 , 1 , 0 ,"$10 in 7 days"," $3.50 now"
8071_1_Y3,SetA, 24 ,57482.320,94.488,0.000,  0.000,  4.182,  5.383,   4 , 2 , 2 , 0 ," $9.50 now","$10 in 180 days"
8071_1_Y3,SetA, 25 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 22 , 0 , 0 ,"$10 now"," $0.00 now"
8071_1_Y3,SetA, 26 ,57488.100,100.262,0.000,  2.557,  0.000,  3.337,   3 , 13 , 1 , 0 ,"$10 in 90 days"," $4.00 now"
8071_1_Y3,SetA, 27 ,57491.820,103.988,0.000,  2.123,  0.000,  2.544,   3 , 4 , 1 , 0 ,"$10 in 90 days"," $8.50 now"
8071_1_Y3,SetA, 28 ,57494.760,106.922,2.075,  0.000,  1.654,  4.508,   4 , 9 , 2 , 0 ," $6.00 now","$10 in 180 days"
8071_1_Y3,SetA, 29 ,57499.660,111.820,0.000,  3.822,  0.000,  5.336,   1 , 15 , 1 , 0 ,"$10 in 7 days"," $3.00 now"
8071_1_Y3,SetA, 30 ,57505.380,117.547,0.000,  0.000,  3.727,  5.225,   0 , 0 , 2 , 0 ,"$10 now"," $10.50 now"
8071_1_Y3,SetA, 31 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 8 , 0 , 0 ,"$10 now"," $6.50 now"
8071_1_Y3,SetA, 32 ,57511.000,123.160,0.000,  2.466,  0.000,  4.838,   2 , 20 , 1 , 0 ,"$10 in 30 days"," $0.50 now"
8071_1_Y3,SetA, 33 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 10 , 0 , 0 ,"$10 now"," $5.50 now"
8071_1_Y3,SetA, 34 ,57516.220,128.387,0.000,  0.000,  4.135,  5.008,   1 , 0 , 2 , 0 ,"$10 in 7 days"," $10.50 now"
8071_1_Y3,SetA, 35 ,57521.620,133.785,0.000,  3.276,  0.000,  4.009,   3 , 10 , 1 , 0 ,"$10 in 90 days"," $5.50 now"
8071_1_Y3,SetA, 36 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ," $5.00 now","$10 in 365 days"
8071_1_Y3,SetA, 37 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 14 , 0 , 0 ,"$10 now"," $3.50 now"
8071_1_Y3,SetA, 38 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 20 , 0 , 0 ,"$10 now"," $0.50 now"
8071_1_Y3,SetA, 39 ,57526.020,138.184,0.000,  2.262,  0.000,  2.918,   2 , 12 , 1 , 0 ,"$10 in 30 days"," $4.50 now"
8071_1_Y3,SetA, 40 ,57529.330,141.492,0.000,  0.000,  2.277,  2.964,   1 , 3 , 2 , 0 ," $9.00 now","$10 in 7 days"
8071_1_Y3,SetA, 41 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 19 , 0 , 0 ,"$10 now"," $1.00 now"
8071_1_Y3,SetA, 42 ,57532.680,144.848,0.000,  1.355,  0.000,  1.994,   1 , 18 , 1 , 0 ,"$10 in 7 days"," $1.50 now"
8071_1_Y3,SetA, 43 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 16 , 0 , 0 ,"$10 now"," $2.50 now"
8071_1_Y3,SetA, 44 ,57535.070,147.231,0.000,  1.687,  0.000,  2.374,   2 , 8 , 1 , 0 ,"$10 in 30 days"," $6.50 now"
8071_1_Y3,SetA, 45 ,57537.830,149.992,0.000,  1.905,  0.000,  3.824,   2 , 13 , 1 , 0 ,"$10 in 30 days"," $4.00 now"
8071_1_Y3,SetA, 46 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 18 , 0 , 0 ,"$10 now"," $1.50 now"
8071_1_Y3,SetA, 47 ,57542.040,154.207,0.000,  2.635,  0.000,  3.290,   1 , 7 , 1 , 0 ,"$10 in 7 days"," $7.00 now"
8071_1_Y3,SetA, 48 ,57545.720,157.887,0.000,  4.727,  0.000,  5.367,   1 , 19 , 1 , 0 ,"$10 in 7 days"," $1.00 now"
8071_1_Y3,SetA, 49 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 15 , 0 , 0 ,"$10 now"," $3.00 now"
8071_1_Y3,SetA, 50 ,57551.480,163.645,0.000,  4.336,  0.000,  4.960,   4 , 16 , 1 , 0 ,"$10 in 180 days"," $2.50 now"
8071_1_Y3,SetA, 51 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
8071_1_Y3,SetA, 52 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 18 , 0 , 0 ,"$10 in 365 days"," $1.50 now"
8071_1_Y3,SetA, 53 ,57556.830,168.992,0.000,  0.000,  2.795,  3.372,   4 , 11 , 2 , 0 ," $5.00 now","$10 in 180 days"
8071_1_Y3,SetA, 54 ,57560.590,172.754,0.000,  0.000,  2.449,  3.198,   1 , 17 , 2 , 0 ," $2.00 now","$10 in 7 days"
8071_1_Y3,SetA, 55 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 7 , 0 , 0 ,"$10 in 365 days"," $7.00 now"
8071_1_Y3,SetA, 56 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 22 , 0 , 0 ,"$10 in 365 days"," $0.00 now"
8071_1_Y3,SetA, 57 ,57564.180,176.344,0.000,  3.368,  0.000,  8.250,   1 , 8 , 1 , 0 ,"$10 in 7 days"," $6.50 now"
8071_1_Y3,SetA, 58 ,57572.820,184.984,0.000,  0.000,  2.356,  3.432,   3 , 5 , 2 , 0 ," $8.00 now","$10 in 90 days"
8071_1_Y3,SetA, 59 ,57576.640,188.805,0.000,  0.000,  4.962,  5.867,   4 , 3 , 2 , 0 ," $9.00 now","$10 in 180 days"
8071_1_Y3,SetA, 60 ,57582.900,195.063,0.000,  6.599,  0.000,  8.299,   1 , 22 , 1 , 0 ,"$10 in 7 days"," $0.00 now"
8071_1_Y3,SetA, 61 ,57591.590,203.750,0.000,  3.262,  0.000,  4.728,   4 , 7 , 1 , 0 ,"$10 in 180 days"," $7.00 now"
8071_1_Y3,SetA, 62 ,57596.700,208.867,0.000,  1.608,  0.000,  2.154,   4 , 19 , 1 , 0 ,"$10 in 180 days"," $1.00 now"
8071_1_Y3,SetA, 63 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 2 , 0 , 0 ," $9.50 now","$10 in 365 days"
8071_1_Y3,SetA, 64 ,57599.250,211.410,0.000,  0.000,  2.294,  2.824,   1 , 9 , 2 , 0 ," $6.00 now","$10 in 7 days"
8071_1_Y3,SetA, 65 ,57602.460,214.625,0.000,  0.000,  2.651,  3.119,   2 , 9 , 2 , 0 ," $6.00 now","$10 in 30 days"
8071_1_Y3,SetA, 66 ,57605.970,218.133,0.000,  1.156,  0.000,  1.717,   3 , 12 , 1 , 0 ,"$10 in 90 days"," $4.50 now"
8071_1_Y3,SetA, 67 ,57608.070,220.238,0.000,  0.000,  1.344,  1.859,   3 , 17 , 2 , 0 ," $2.00 now","$10 in 90 days"
8071_1_Y3,SetA, 68 ,57610.320,222.488,0.000,  0.000,  1.403,  1.980,   2 , 5 , 2 , 0 ," $8.00 now","$10 in 30 days"
8071_1_Y3,SetA, 69 ,57612.700,224.859,0.000,  1.902,  0.000,  2.869,   1 , 10 , 1 , 0 ,"$10 in 7 days"," $5.50 now"
8071_1_Y3,SetA, 70 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 7 , 0 , 0 ,"$10 now"," $7.00 now"
8071_1_Y3,SetA, 71 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 17 , 0 , 0 ," $2.00 now","$10 in 365 days"
8071_1_Y3,SetA, 72 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   2 , 21 , 0 , 0 ," $0.25 now","$10 in 30 days"
8071_1_Y3,SetA, 73 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 9 , 0 , 0 ," $6.00 now","$10 now"
8071_1_Y3,SetA, 74 ,57615.950,228.117,0.000,  0.000,  1.437,  2.029,   4 , 5 , 2 , 0 ," $8.00 now","$10 in 180 days"
8071_1_Y3,SetA, 75 ,57618.370,230.535,1.405,  0.000,  2.248,  2.763,   4 , 17 , 2 , 0 ," $2.00 now","$10 in 180 days"
8071_1_Y3,SetA, 76 ,57621.520,233.688,0.000,  2.044,  0.000,  2.575,   4 , 18 , 1 , 0 ,"$10 in 180 days"," $1.50 now"
8071_1_Y3,SetA, 77 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 10 , 0 , 0 ,"$10 in 365 days"," $5.50 now"
8071_1_Y3,SetA, 78 ,57624.490,236.652,0.000,  1.279,  0.000,  1.872,   4 , 20 , 1 , 0 ,"$10 in 180 days"," $0.50 now"
8071_1_Y3,SetA, 79 ,57626.750,238.914,0.000,  1.794,  0.000,  2.340,   4 , 15 , 1 , 0 ,"$10 in 180 days"," $3.00 now"
8071_1_Y3,SetA, 80 ,57629.480,241.645,0.000,  1.528,  0.000,  1.950,   4 , 10 , 1 , 0 ,"$10 in 180 days"," $5.50 now"
8071_1_Y3,SetA, 81 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ," $0.25 now","$10 in 180 days"
8071_1_Y3,SetA, 82 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ," $0.25 now","$10 now"
8071_1_Y3,SetA, 83 ,57631.820,243.984,0.000,  0.000,  1.357,  1.981,   1 , 2 , 2 , 0 ," $9.50 now","$10 in 7 days"
8071_1_Y3,SetA, 84 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 14 , 0 , 0 ,"$10 in 365 days"," $3.50 now"
8071_1_Y3,SetA, 85 ,57634.190,246.356,0.000,  2.231,  0.000,  2.761,   2 , 4 , 1 , 0 ,"$10 in 30 days"," $8.50 now"
8071_1_Y3,SetA, 86 ,57637.340,249.508,0.000,  1.262,  2.478,  3.071,   4 , 1 , 2 , 0 ,"$10 in 180 days"," $10.00 now"
8071_1_Y3,SetA, 87 ,57640.800,252.969,0.000,  0.000,  1.903,  2.730,   2 , 6 , 2 , 0 ," $7.50 now","$10 in 30 days"
8071_1_Y3,SetA, 88 ,57643.930,256.090,0.000,  3.946,  0.000,  4.508,   1 , 16 , 1 , 0 ,"$10 in 7 days"," $2.50 now"
8071_1_Y3,SetA, 89 ,57648.820,260.988,0.000,  0.000,  2.418,  2.776,   3 , 11 , 2 , 0 ," $5.00 now","$10 in 90 days"
8071_1_Y3,SetA, 90 ,57651.990,264.152,0.000,  0.000,  1.484,  1.796,   3 , 6 , 2 , 0 ," $7.50 now","$10 in 90 days"
8071_1_Y3,SetA, 91 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ," $0.25 now","$10 in 365 days"
8071_1_Y3,SetA, 92 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 13 , 0 , 0 ,"$10 in 365 days"," $4.00 now"
8071_1_Y3,SetA, 93 ,57654.180,266.340,0.000,  2.151,  0.000,  2.479,   1 , 4 , 1 , 0 ,"$10 in 7 days"," $8.50 now"
8071_1_Y3,SetA, 94 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 9 , 0 , 0 ," $6.00 now","$10 in 365 days"
8071_1_Y3,SetA, 95 ,57657.050,269.211,0.000,  1.261,  0.000,  2.899,   4 , 22 , 1 , 0 ,"$10 in 180 days"," $0.00 now"
8071_1_Y3,SetA, 96 ,57660.340,272.500,0.000,  2.294,  0.000,  2.699,   2 , 10 , 1 , 0 ,"$10 in 30 days"," $5.50 now"
8071_1_Y3,SetA, 97 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 5 , 0 , 0 ," $8.00 now","$10 now"
8071_1_Y3,SetA, 98 ,57663.430,275.590,0.000,  0.000,  1.996,  2.370,   2 , 0 , 2 , 0 ,"$10 in 30 days"," $10.50 now"
8071_1_Y3,SetA, 99 ,57666.190,278.352,0.000,  1.544,  0.000,  1.996,   2 , 19 , 1 , 0 ,"$10 in 30 days"," $1.00 now"
8071_1_Y3,SetA, 100 ,57668.570,280.738,0.000,  2.214,  0.000,  2.558,   3 , 8 , 1 , 0 ,"$10 in 90 days"," $6.50 now"
8071_1_Y3,SetA, 101 ,57671.520,283.688,0.000,  0.000,  5.209,  6.597,   1 , 5 , 2 , 0 ," $8.00 now","$10 in 7 days"
8071_1_Y3,SetA, 102 ,57678.510,290.676,0.000,  3.898,  0.000,  4.460,   0 , 2 , 1 , 0 ," $9.50 now","$10 now"
8071_1_Y3,SetA, 103 ,57683.360,295.527,0.000,  0.000,  4.149,  4.585,   3 , 9 , 2 , 0 ," $6.00 now","$10 in 90 days"
8071_1_Y3,SetA, 104 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 19 , 0 , 0 ,"$10 in 365 days"," $1.00 now"
8071_1_Y3,SetA, 105 ,57688.340,300.504,0.000,  0.000,  2.370,  3.306,   3 , 2 , 2 , 0 ," $9.50 now","$10 in 90 days"
8071_1_Y3,SetA, 106 ,57692.040,304.199,0.000,  6.833,  0.000,  8.409,   4 , 4 , 1 , 0 ,"$10 in 180 days"," $8.50 now"
8071_1_Y3,SetA, 107 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 3 , 0 , 0 ," $9.00 now","$10 in 365 days"
8071_1_Y3,SetA, 108 ,57700.840,313.000,2.868,  3.336,  0.000,  4.460,   3 , 22 , 1 , 0 ,"$10 in 90 days"," $0.00 now"
8071_1_Y3,SetA, 109 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 12 , 0 , 0 ,"$10 in 365 days"," $4.50 now"
8071_1_Y3,SetA, 110 ,57705.690,317.852,2.557,  0.000,  3.462,  3.977,   2 , 17 , 2 , 0 ," $2.00 now","$10 in 30 days"
8071_1_Y3,SetA, 111 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 17 , 0 , 0 ," $2.00 now","$10 now"
8071_1_Y3,SetA, 112 ,57710.050,322.219,0.000,  0.000,  1.855,  2.307,   2 , 3 , 2 , 0 ," $9.00 now","$10 in 30 days"
8071_1_Y3,SetA, 113 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 6 , 0 , 0 ," $7.50 now","$10 now"
8071_1_Y3,SetA, 114 ,57712.750,324.918,0.000,  1.309,  0.000,  2.214,   4 , 8 , 1 , 0 ,"$10 in 180 days"," $6.50 now"
8071_1_Y3,SetA, 115 ,57715.360,327.523,0.000,  1.668,  0.000,  2.011,   2 , 18 , 1 , 0 ,"$10 in 30 days"," $1.50 now"
8071_1_Y3,SetA, 116 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   1 , 21 , 0 , 0 ," $0.25 now","$10 in 7 days"
8071_1_Y3,SetA, 117 ,57717.760,329.926,0.000,  1.620,  0.000,  1.854,   3 , 20 , 1 , 0 ,"$10 in 90 days"," $0.50 now"
8071_1_Y3,SetA, 118 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 16 , 0 , 0 ,"$10 in 365 days"," $2.50 now"
8071_1_Y3,SetA, 119 ,57720.010,332.172,0.000,  0.000,  1.340,  1.605,   3 , 3 , 2 , 0 ," $9.00 now","$10 in 90 days"
8071_1_Y3,SetA, 120 ,57722.000,334.168,0.000,  2.043,  0.000,  2.682,   2 , 15 , 1 , 0 ,"$10 in 30 days"," $3.00 now"
8071_1_Y3,SetA, 121 ,57725.070,337.238,0.000,  1.313,  0.000,  1.718,   3 , 18 , 1 , 0 ,"$10 in 90 days"," $1.50 now"
8071_1_Y3,SetA, 122 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 11 , 0 , 0 ," $5.00 now","$10 now"
8071_1_Y3,SetA, 123 ,57727.180,339.348,0.000,  1.137,  0.000,  2.978,   3 , 16 , 1 , 0 ,"$10 in 90 days"," $2.50 now"
8071_1_Y3,SetA, 124 ,57730.550,342.715,0.000,  0.000,  2.700,  3.324,   0 , 3 , 2 , 0 ," $9.00 now","$10 now"
