Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8230_1_Y1     02-03-2014    16:35:53,SetA
8230_1_Y1,SetA, 1 ,59438.830,0.000,-0.001,  33.592,  31.748,  37.936,   3 , 11 , 2 , 0 ," $5.00 now","$10 in 90 days"
8230_1_Y1,SetA, 2 ,59477.160,38.324,0.112,  0.000,  3.815,  5.111,   4 , 19 , 2 , 0 ," $1.00 now","$10 in 180 days"
8230_1_Y1,SetA, 3 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ,"$10 now"," $0.25 now"
8230_1_Y1,SetA, 4 ,59482.660,43.824,0.111,  0.000,  5.143,  6.393,   1 , 15 , 2 , 0 ," $3.00 now","$10 in 7 days"
8230_1_Y1,SetA, 5 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 20 , 0 , 0 ," $0.50 now","$10 in 365 days"
8230_1_Y1,SetA, 6 ,59489.440,50.605,0.112,  0.000,  2.674,  3.924,   4 , 4 , 2 , 0 ," $8.50 now","$10 in 180 days"
8230_1_Y1,SetA, 7 ,59493.750,54.922,0.107,  0.000,  3.138,  4.529,   1 , 19 , 2 , 0 ," $1.00 now","$10 in 7 days"
8230_1_Y1,SetA, 8 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 13 , 0 , 0 ,"$10 now"," $4.00 now"
8230_1_Y1,SetA, 9 ,59498.670,59.840,0.111,  0.000,  3.345,  4.548,   2 , 11 , 2 , 0 ," $5.00 now","$10 in 30 days"
8230_1_Y1,SetA, 10 ,59503.610,64.777,0.096,  0.000,  2.642,  3.642,   1 , 20 , 2 , 0 ," $0.50 now","$10 in 7 days"
8230_1_Y1,SetA, 11 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   2 , 21 , 0 , 0 ,"$10 in 30 days"," $0.25 now"
8230_1_Y1,SetA, 12 ,59507.640,68.809,0.017,  3.626,  0.000,  4.735,   4 , 16 , 1 , 0 ,"$10 in 180 days"," $2.50 now"
8230_1_Y1,SetA, 13 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 18 , 0 , 0 ,"$10 in 365 days"," $1.50 now"
8230_1_Y1,SetA, 14 ,59512.770,73.934,0.079,  0.000,  3.048,  4.079,   3 , 10 , 2 , 0 ," $5.50 now","$10 in 90 days"
8230_1_Y1,SetA, 15 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 16 , 0 , 0 ,"$10 in 365 days"," $2.50 now"
8230_1_Y1,SetA, 16 ,59517.230,78.402,0.048,  0.000,  7.533,  8.579,   3 , 12 , 2 , 0 ," $4.50 now","$10 in 90 days"
8230_1_Y1,SetA, 17 ,59526.200,87.371,0.032,  0.000,  3.907,  5.063,   3 , 5 , 2 , 0 ," $8.00 now","$10 in 90 days"
8230_1_Y1,SetA, 18 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   1 , 21 , 0 , 0 ,"$10 in 7 days"," $0.25 now"
8230_1_Y1,SetA, 19 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 0 , 0 , 0 ," $10.50 now","$10 in 365 days"
8230_1_Y1,SetA, 20 ,59531.660,92.824,0.001,  1.939,  0.000,  2.907,   2 , 18 , 1 , 0 ,"$10 in 30 days"," $1.50 now"
8230_1_Y1,SetA, 21 ,59534.950,96.121,0.110,  0.000,  2.454,  3.298,   4 , 22 , 2 , 0 ," $0.00 now","$10 in 180 days"
8230_1_Y1,SetA, 22 ,59538.640,99.809,0.110,  0.000,  2.063,  3.500,   3 , 4 , 2 , 0 ," $8.50 now","$10 in 90 days"
8230_1_Y1,SetA, 23 ,59542.530,103.699,0.110,  0.000,  2.173,  3.016,   4 , 17 , 2 , 0 ," $2.00 now","$10 in 180 days"
8230_1_Y1,SetA, 24 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ," $5.00 now","$10 in 365 days"
8230_1_Y1,SetA, 25 ,59545.940,107.106,0.001,  0.000,  2.220,  3.032,   2 , 15 , 2 , 0 ," $3.00 now","$10 in 30 days"
8230_1_Y1,SetA, 26 ,59549.360,110.527,0.001,  0.000,  2.141,  3.141,   4 , 10 , 2 , 0 ," $5.50 now","$10 in 180 days"
8230_1_Y1,SetA, 27 ,59552.890,114.059,0.016,  0.000,  2.313,  3.016,   1 , 14 , 2 , 0 ," $3.50 now","$10 in 7 days"
8230_1_Y1,SetA, 28 ,59556.300,117.465,0.078,  0.000,  1.203,  2.031,   3 , 17 , 2 , 0 ," $2.00 now","$10 in 90 days"
8230_1_Y1,SetA, 29 ,59558.720,119.887,0.000,  0.000,  3.375,  3.984,   4 , 3 , 2 , 0 ," $9.00 now","$10 in 180 days"
8230_1_Y1,SetA, 30 ,59563.090,124.262,0.063,  0.000,  3.047,  3.922,   2 , 17 , 2 , 0 ," $2.00 now","$10 in 30 days"
8230_1_Y1,SetA, 31 ,59567.410,128.574,0.000,  1.547,  0.000,  2.329,   1 , 8 , 1 , 0 ,"$10 in 7 days"," $6.50 now"
8230_1_Y1,SetA, 32 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 16 , 0 , 0 ,"$10 now"," $2.50 now"
8230_1_Y1,SetA, 33 ,59570.130,131.293,0.016,  0.000,  0.641,  1.234,   2 , 2 , 2 , 0 ," $9.50 now","$10 in 30 days"
8230_1_Y1,SetA, 34 ,59571.750,132.918,0.016,  1.422,  0.000,  2.031,   2 , 16 , 1 , 0 ,"$10 in 30 days"," $2.50 now"
8230_1_Y1,SetA, 35 ,59574.170,135.340,0.109,  0.000,  0.687,  1.344,   2 , 19 , 2 , 0 ," $1.00 now","$10 in 30 days"
8230_1_Y1,SetA, 36 ,59575.910,137.074,0.000,  0.610,  0.000,  1.188,   4 , 1 , 1 , 0 ,"$10 in 180 days"," $10.00 now"
8230_1_Y1,SetA, 37 ,59577.480,138.652,0.000,  0.000,  1.282,  1.891,   2 , 0 , 2 , 0 ," $10.50 now","$10 in 30 days"
8230_1_Y1,SetA, 38 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 4 , 0 , 0 ," $8.50 now","$10 in 365 days"
8230_1_Y1,SetA, 39 ,59579.770,140.934,0.000,  0.000,  1.687,  2.359,   4 , 5 , 2 , 0 ," $8.00 now","$10 in 180 days"
8230_1_Y1,SetA, 40 ,59582.520,143.684,0.109,  1.562,  0.000,  2.109,   4 , 13 , 1 , 0 ,"$10 in 180 days"," $4.00 now"
