Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8272_2_Y2     07-14-2015    15:26:59,SetA
8272_2_Y2,SetA, 1 ,55188.030,0.000,0.000,  10.619,  0.000,  12.243,   2 , 10 , 1 , 0 ," $5.50 now","$10 in 30 days"
8272_2_Y2,SetA, 2 ,55200.480,12.453,0.026,  0.000,  4.727,  5.614,   1 , 20 , 2 , 0 ," $0.50 now","$10 in 7 days"
8272_2_Y2,SetA, 3 ,55206.310,18.281,0.032,  0.000,  5.384,  6.112,   4 , 12 , 2 , 0 ,"$10 in 180 days"," $4.50 now"
8272_2_Y2,SetA, 4 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 7 , 0 , 0 ,"$10 in 365 days"," $7.00 now"
8272_2_Y2,SetA, 5 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 16 , 0 , 0 ,"$10 in 365 days"," $2.50 now"
8272_2_Y2,SetA, 6 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 14 , 0 , 0 ,"$10 in 365 days"," $3.50 now"
8272_2_Y2,SetA, 7 ,55212.630,24.598,0.036,  0.000,  3.820,  5.011,   4 , 8 , 2 , 0 ,"$10 in 180 days"," $6.50 now"
8272_2_Y2,SetA, 8 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 18 , 0 , 0 ,"$10 now"," $1.50 now"
8272_2_Y2,SetA, 9 ,55217.860,29.824,0.033,  0.000,  4.817,  5.801,   2 , 3 , 2 , 0 ,"$10 in 30 days"," $9.00 now"
8272_2_Y2,SetA, 10 ,55223.860,35.832,0.029,  3.891,  0.000,  4.489,   4 , 9 , 1 , 0 ," $6.00 now","$10 in 180 days"
8272_2_Y2,SetA, 11 ,55228.560,40.531,0.028,  0.000,  3.169,  3.725,   1 , 13 , 2 , 0 ," $4.00 now","$10 in 7 days"
8272_2_Y2,SetA, 12 ,55232.500,44.473,0.031,  0.000,  5.175,  5.647,   2 , 8 , 2 , 0 ,"$10 in 30 days"," $6.50 now"
8272_2_Y2,SetA, 13 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 18 , 0 , 0 ,"$10 in 365 days"," $1.50 now"
8272_2_Y2,SetA, 14 ,55238.370,50.340,0.013,  0.000,  3.295,  4.061,   0 , 0 , 2 , 0 ,"$10 now"," $10.50 now"
8272_2_Y2,SetA, 15 ,55242.650,54.617,0.028,  2.943,  0.000,  3.503,   2 , 9 , 1 , 0 ," $6.00 now","$10 in 30 days"
8272_2_Y2,SetA, 16 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 14 , 0 , 0 ,"$10 now"," $3.50 now"
8272_2_Y2,SetA, 17 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 6 , 0 , 0 ,"$10 in 365 days"," $7.50 now"
8272_2_Y2,SetA, 18 ,55246.360,58.328,0.029,  0.000,  4.879,  5.359,   1 , 10 , 2 , 0 ," $5.50 now","$10 in 7 days"
8272_2_Y2,SetA, 19 ,55251.930,63.895,0.031,  3.616,  0.000,  4.032,   1 , 12 , 1 , 0 ,"$10 in 7 days"," $4.50 now"
8272_2_Y2,SetA, 20 ,55256.170,68.141,0.028,  0.000,  2.986,  3.394,   2 , 12 , 2 , 0 ,"$10 in 30 days"," $4.50 now"
8272_2_Y2,SetA, 21 ,55259.770,71.742,0.030,  0.000,  4.314,  4.801,   1 , 6 , 2 , 0 ,"$10 in 7 days"," $7.50 now"
8272_2_Y2,SetA, 22 ,55264.780,76.746,0.032,  4.084,  0.000,  4.517,   1 , 18 , 1 , 0 ,"$10 in 7 days"," $1.50 now"
8272_2_Y2,SetA, 23 ,55269.500,81.473,0.036,  0.000,  4.158,  4.693,   2 , 18 , 2 , 0 ,"$10 in 30 days"," $1.50 now"
8272_2_Y2,SetA, 24 ,55274.410,86.375,0.029,  4.096,  0.000,  4.535,   3 , 4 , 1 , 0 ," $8.50 now","$10 in 90 days"
8272_2_Y2,SetA, 25 ,55279.140,91.113,0.033,  5.236,  0.000,  5.716,   1 , 9 , 1 , 0 ," $6.00 now","$10 in 7 days"
8272_2_Y2,SetA, 26 ,55285.070,97.043,0.032,  0.000,  5.921,  6.292,   2 , 5 , 2 , 0 ,"$10 in 30 days"," $8.00 now"
8272_2_Y2,SetA, 27 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 8 , 0 , 0 ,"$10 now"," $6.50 now"
8272_2_Y2,SetA, 28 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 6 , 0 , 0 ,"$10 now"," $7.50 now"
8272_2_Y2,SetA, 29 ,55291.580,103.547,0.030,  3.010,  0.000,  3.387,   0 , 3 , 1 , 0 ,"$10 now"," $9.00 now"
8272_2_Y2,SetA, 30 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   1 , 21 , 0 , 0 ," $0.25 now","$10 in 7 days"
8272_2_Y2,SetA, 31 ,55295.180,107.148,0.034,  0.000,  3.345,  3.688,   1 , 0 , 2 , 0 ,"$10 in 7 days"," $10.50 now"
8272_2_Y2,SetA, 32 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   2 , 21 , 0 , 0 ," $0.25 now","$10 in 30 days"
8272_2_Y2,SetA, 33 ,55299.090,111.055,0.028,  0.000,  2.510,  2.821,   3 , 7 , 2 , 0 ,"$10 in 90 days"," $7.00 now"
8272_2_Y2,SetA, 34 ,55302.130,114.094,0.030,  3.799,  0.000,  4.478,   1 , 16 , 1 , 0 ,"$10 in 7 days"," $2.50 now"
8272_2_Y2,SetA, 35 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 1 , 0 , 0 ,"$10 now"," $10.00 now"
8272_2_Y2,SetA, 36 ,55306.820,118.789,0.030,  4.112,  0.000,  5.583,   2 , 22 , 1 , 0 ," $0.00 now","$10 in 30 days"
8272_2_Y2,SetA, 37 ,55312.630,124.594,0.011,  3.028,  0.000,  3.562,   2 , 2 , 1 , 0 ," $9.50 now","$10 in 30 days"
8272_2_Y2,SetA, 38 ,55316.400,128.367,0.031,  0.000,  2.790,  3.204,   4 , 15 , 2 , 0 ,"$10 in 180 days"," $3.00 now"
8272_2_Y2,SetA, 39 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 7 , 0 , 0 ,"$10 now"," $7.00 now"
8272_2_Y2,SetA, 40 ,55319.810,131.781,0.235,  6.798,  0.000,  7.271,   4 , 16 , 1 , 0 ,"$10 in 180 days"," $2.50 now"
8272_2_Y2,SetA, 41 ,55327.310,139.277,0.008,  0.000,  3.526,  4.045,   3 , 14 , 2 , 0 ,"$10 in 90 days"," $3.50 now"
8272_2_Y2,SetA, 42 ,55331.560,143.527,0.032,  0.000,  3.219,  3.771,   3 , 20 , 2 , 0 ," $0.50 now","$10 in 90 days"
8272_2_Y2,SetA, 43 ,55335.540,147.508,0.032,  0.000,  3.054,  3.558,   4 , 5 , 2 , 0 ,"$10 in 180 days"," $8.00 now"
8272_2_Y2,SetA, 44 ,55339.310,151.281,0.032,  0.000,  2.777,  3.185,   2 , 1 , 2 , 0 ,"$10 in 30 days"," $10.00 now"
8272_2_Y2,SetA, 45 ,55342.710,154.684,0.029,  0.000,  3.005,  4.094,   2 , 17 , 2 , 0 ," $2.00 now","$10 in 30 days"
8272_2_Y2,SetA, 46 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 16 , 0 , 0 ,"$10 now"," $2.50 now"
8272_2_Y2,SetA, 47 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 15 , 0 , 0 ,"$10 now"," $3.00 now"
8272_2_Y2,SetA, 48 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 2 , 0 , 0 ," $9.50 now","$10 in 365 days"
8272_2_Y2,SetA, 49 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 12 , 0 , 0 ,"$10 now"," $4.50 now"
8272_2_Y2,SetA, 50 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 21 , 0 , 0 ," $0.25 now","$10 in 365 days"
8272_2_Y2,SetA, 51 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 19 , 0 , 0 ,"$10 now"," $1.00 now"
8272_2_Y2,SetA, 52 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 10 , 0 , 0 ," $5.50 now","$10 in 365 days"
8272_2_Y2,SetA, 53 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 1 , 0 , 0 ,"$10 in 365 days"," $10.00 now"
8272_2_Y2,SetA, 54 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 4 , 0 , 0 ," $8.50 now","$10 in 365 days"
8272_2_Y2,SetA, 55 ,55347.020,158.988,0.030,  2.797,  0.000,  3.269,   4 , 18 , 1 , 0 ,"$10 in 180 days"," $1.50 now"
8272_2_Y2,SetA, 56 ,55350.500,162.465,0.032,  0.000,  5.186,  5.753,   1 , 22 , 2 , 0 ," $0.00 now","$10 in 7 days"
8272_2_Y2,SetA, 57 ,55356.460,168.426,0.033,  0.000,  3.087,  3.583,   3 , 1 , 2 , 0 ,"$10 in 90 days"," $10.00 now"
8272_2_Y2,SetA, 58 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 5 , 0 , 0 ,"$10 now"," $8.00 now"
8272_2_Y2,SetA, 59 ,55360.250,172.219,0.027,  4.383,  0.000,  4.806,   4 , 10 , 1 , 0 ," $5.50 now","$10 in 180 days"
8272_2_Y2,SetA, 60 ,55365.270,177.238,0.029,  0.000,  3.787,  4.210,   4 , 19 , 2 , 0 ,"$10 in 180 days"," $1.00 now"
8272_2_Y2,SetA, 61 ,55369.700,181.672,0.013,  0.000,  4.586,  4.906,   2 , 20 , 2 , 0 ," $0.50 now","$10 in 30 days"
8272_2_Y2,SetA, 62 ,55374.820,186.785,0.030,  3.679,  0.000,  4.351,   2 , 11 , 1 , 0 ,"$10 in 30 days"," $5.00 now"
8272_2_Y2,SetA, 63 ,55379.390,191.359,0.011,  2.335,  0.000,  2.785,   3 , 17 , 1 , 0 ," $2.00 now","$10 in 90 days"
8272_2_Y2,SetA, 64 ,0.000,0.000,0.000,  55385.360,  0.000,  0.000,   5 , 17 , 1 , 0 ," $2.00 now","$10 in 365 days"
8272_2_Y2,SetA, 65 ,55385.560,197.531,0.032,  8.686,  0.000,  9.805,   2 , 14 , 1 , 0 ,"$10 in 30 days"," $3.50 now"
8272_2_Y2,SetA, 66 ,55395.580,207.551,0.026,  0.000,  3.922,  4.656,   1 , 1 , 2 , 0 ,"$10 in 7 days"," $10.00 now"
8272_2_Y2,SetA, 67 ,55400.450,212.414,0.032,  0.000,  4.395,  4.770,   4 , 20 , 2 , 0 ," $0.50 now","$10 in 180 days"
8272_2_Y2,SetA, 68 ,55405.420,217.391,0.031,  0.000,  4.199,  4.527,   4 , 6 , 2 , 0 ,"$10 in 180 days"," $7.50 now"
8272_2_Y2,SetA, 69 ,55410.160,222.133,0.034,  2.769,  0.000,  3.099,   4 , 4 , 1 , 0 ," $8.50 now","$10 in 180 days"
8272_2_Y2,SetA, 70 ,55413.470,225.441,0.029,  2.883,  0.000,  3.189,   2 , 4 , 1 , 0 ," $8.50 now","$10 in 30 days"
8272_2_Y2,SetA, 71 ,55416.870,228.840,0.032,  0.000,  1.942,  2.278,   3 , 10 , 2 , 0 ," $5.50 now","$10 in 90 days"
8272_2_Y2,SetA, 72 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 9 , 0 , 0 ," $6.00 now","$10 in 365 days"
8272_2_Y2,SetA, 73 ,55419.370,231.340,0.013,  0.000,  2.097,  2.642,   4 , 1 , 2 , 0 ,"$10 in 180 days"," $10.00 now"
8272_2_Y2,SetA, 74 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 13 , 0 , 0 ," $4.00 now","$10 in 365 days"
8272_2_Y2,SetA, 75 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 11 , 0 , 0 ,"$10 now"," $5.00 now"
8272_2_Y2,SetA, 76 ,55422.220,234.191,0.033,  3.590,  0.000,  4.214,   1 , 14 , 1 , 0 ,"$10 in 7 days"," $3.50 now"
8272_2_Y2,SetA, 77 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 15 , 0 , 0 ,"$10 in 365 days"," $3.00 now"
8272_2_Y2,SetA, 78 ,55426.650,238.621,0.032,  3.289,  0.000,  3.753,   2 , 15 , 1 , 0 ,"$10 in 30 days"," $3.00 now"
8272_2_Y2,SetA, 79 ,55430.620,242.586,0.028,  0.000,  3.794,  4.140,   2 , 13 , 2 , 0 ," $4.00 now","$10 in 30 days"
8272_2_Y2,SetA, 80 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 22 , 0 , 0 ," $0.00 now","$10 now"
8272_2_Y2,SetA, 81 ,55434.960,246.934,0.033,  0.000,  6.872,  7.503,   4 , 7 , 2 , 0 ,"$10 in 180 days"," $7.00 now"
8272_2_Y2,SetA, 82 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 20 , 0 , 0 ," $0.50 now","$10 in 365 days"
8272_2_Y2,SetA, 83 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 0 , 0 , 0 ,"$10 in 365 days"," $10.50 now"
8272_2_Y2,SetA, 84 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 5 , 0 , 0 ,"$10 in 365 days"," $8.00 now"
8272_2_Y2,SetA, 85 ,55442.700,254.664,0.007,  2.588,  0.000,  2.949,   4 , 2 , 1 , 0 ," $9.50 now","$10 in 180 days"
8272_2_Y2,SetA, 86 ,55445.860,257.824,0.034,  2.732,  0.000,  3.101,   2 , 19 , 1 , 0 ,"$10 in 30 days"," $1.00 now"
8272_2_Y2,SetA, 87 ,55449.160,261.129,0.032,  0.000,  1.771,  2.107,   2 , 7 , 2 , 0 ,"$10 in 30 days"," $7.00 now"
8272_2_Y2,SetA, 88 ,55451.490,263.461,0.008,  0.000,  3.648,  4.039,   3 , 6 , 2 , 0 ,"$10 in 90 days"," $7.50 now"
8272_2_Y2,SetA, 89 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 21 , 0 , 0 ," $0.25 now","$10 now"
8272_2_Y2,SetA, 90 ,55455.750,267.715,0.029,  0.000,  2.200,  2.593,   3 , 0 , 2 , 0 ,"$10 in 90 days"," $10.50 now"
8272_2_Y2,SetA, 91 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 3 , 0 , 0 ,"$10 in 365 days"," $9.00 now"
8272_2_Y2,SetA, 92 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 4 , 0 , 0 ," $8.50 now","$10 now"
8272_2_Y2,SetA, 93 ,55458.550,270.523,0.000,  0.000,  1.975,  2.335,   3 , 3 , 2 , 0 ,"$10 in 90 days"," $9.00 now"
8272_2_Y2,SetA, 94 ,55461.110,273.082,0.012,  0.000,  1.426,  1.841,   3 , 5 , 2 , 0 ,"$10 in 90 days"," $8.00 now"
8272_2_Y2,SetA, 95 ,55463.170,275.141,0.029,  1.590,  0.000,  1.974,   1 , 15 , 1 , 0 ,"$10 in 7 days"," $3.00 now"
8272_2_Y2,SetA, 96 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ," $0.25 now","$10 in 180 days"
8272_2_Y2,SetA, 97 ,55465.360,277.324,0.030,  0.000,  1.935,  2.359,   1 , 5 , 2 , 0 ,"$10 in 7 days"," $8.00 now"
8272_2_Y2,SetA, 98 ,0.000,0.000,0.000,  0.000,  55468.820,  0.000,   0 , 13 , 2 , 0 ," $4.00 now","$10 now"
8272_2_Y2,SetA, 99 ,55469.040,281.008,0.120,  0.000,  5.778,  6.178,   1 , 7 , 2 , 0 ,"$10 in 7 days"," $7.00 now"
8272_2_Y2,SetA, 100 ,55475.430,287.398,0.033,  2.964,  0.000,  3.395,   3 , 16 , 1 , 0 ,"$10 in 90 days"," $2.50 now"
8272_2_Y2,SetA, 101 ,55479.040,291.008,0.026,  0.000,  5.075,  5.794,   0 , 2 , 2 , 0 ," $9.50 now","$10 now"
8272_2_Y2,SetA, 102 ,55485.040,297.008,0.032,  0.000,  3.491,  3.890,   1 , 4 , 2 , 0 ," $8.50 now","$10 in 7 days"
8272_2_Y2,SetA, 103 ,55489.140,301.113,0.028,  6.543,  0.000,  6.904,   1 , 11 , 1 , 0 ,"$10 in 7 days"," $5.00 now"
8272_2_Y2,SetA, 104 ,55496.260,308.227,0.032,  0.000,  2.630,  3.487,   4 , 0 , 2 , 0 ,"$10 in 180 days"," $10.50 now"
8272_2_Y2,SetA, 105 ,55499.950,311.922,0.031,  2.368,  0.000,  2.752,   1 , 8 , 1 , 0 ,"$10 in 7 days"," $6.50 now"
8272_2_Y2,SetA, 106 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 11 , 0 , 0 ,"$10 in 365 days"," $5.00 now"
8272_2_Y2,SetA, 107 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 17 , 0 , 0 ," $2.00 now","$10 now"
8272_2_Y2,SetA, 108 ,55502.920,314.887,0.030,  0.000,  5.170,  5.586,   4 , 3 , 2 , 0 ,"$10 in 180 days"," $9.00 now"
8272_2_Y2,SetA, 109 ,55508.720,320.688,0.031,  3.080,  0.000,  4.029,   4 , 14 , 1 , 0 ,"$10 in 180 days"," $3.50 now"
8272_2_Y2,SetA, 110 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 12 , 0 , 0 ,"$10 in 365 days"," $4.50 now"
8272_2_Y2,SetA, 111 ,55512.960,324.930,0.000,  5.550,  0.000,  6.894,   3 , 12 , 1 , 0 ,"$10 in 90 days"," $4.50 now"
8272_2_Y2,SetA, 112 ,55520.060,332.031,0.029,  3.337,  0.000,  3.824,   1 , 2 , 1 , 0 ," $9.50 now","$10 in 7 days"
8272_2_Y2,SetA, 113 ,55524.110,336.074,0.000,  0.000,  5.678,  6.349,   4 , 13 , 2 , 0 ," $4.00 now","$10 in 180 days"
8272_2_Y2,SetA, 114 ,55530.670,342.641,0.000,  0.000,  13.807,  14.222,   2 , 0 , 2 , 0 ,"$10 in 30 days"," $10.50 now"
8272_2_Y2,SetA, 115 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 20 , 0 , 0 ," $0.50 now","$10 now"
8272_2_Y2,SetA, 116 ,55545.120,357.086,0.010,  0.000,  2.154,  2.528,   3 , 9 , 2 , 0 ," $6.00 now","$10 in 90 days"
8272_2_Y2,SetA, 117 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 22 , 0 , 0 ," $0.00 now","$10 in 365 days"
8272_2_Y2,SetA, 118 ,55547.860,359.832,0.000,  4.255,  0.000,  4.679,   3 , 11 , 1 , 0 ,"$10 in 90 days"," $5.00 now"
8272_2_Y2,SetA, 119 ,55552.760,364.727,0.030,  0.000,  2.303,  2.615,   4 , 11 , 2 , 0 ,"$10 in 180 days"," $5.00 now"
8272_2_Y2,SetA, 120 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 8 , 0 , 0 ,"$10 in 365 days"," $6.50 now"
8272_2_Y2,SetA, 121 ,55555.580,367.551,0.029,  3.711,  0.000,  4.079,   3 , 15 , 1 , 0 ,"$10 in 90 days"," $3.00 now"
8272_2_Y2,SetA, 122 ,55559.880,371.844,0.000,  0.000,  2.556,  2.922,   1 , 17 , 2 , 0 ," $2.00 now","$10 in 7 days"
8272_2_Y2,SetA, 123 ,55563.000,374.973,0.031,  2.561,  0.000,  4.736,   4 , 17 , 1 , 0 ," $2.00 now","$10 in 180 days"
