Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8036_1_Y2,SetA, 115 ,52974.390,244.141,0.357,  0.950,  0.000,  1.792,   4 , 10 , 1 , 0 ," $5.50 now","$10 in 180 days"
8036_1_Y2,SetA, 116 ,52976.570,246.324,0.015,  1.247,  0.000,  1.855,   4 , 11 , 1 , 0 ," $5.00 now","$10 in 180 days"
8036_1_Y2,SetA, 117 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 1 , 0 , 0 ,"$10 in 365 days"," $10.00 now"
8036_1_Y2,SetA, 118 ,52978.820,248.570,0.015,  1.247,  0.000,  1.825,   3 , 0 , 1 , 0 ," $10.50 now","$10 in 90 days"
8036_1_Y2,SetA, 119 ,52981.040,250.785,0.592,  1.294,  0.000,  1.950,   3 , 12 , 1 , 0 ," $4.50 now","$10 in 90 days"
8036_1_Y2,SetA, 120 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 3 , 0 , 0 ,"$10 in 365 days"," $9.00 now"
8036_1_Y2,SetA, 121 ,52983.380,253.125,0.436,  1.123,  0.000,  2.340,   3 , 20 , 1 , 0 ," $0.50 now","$10 in 90 days"
8036_1_Y2,SetA, 122 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 2 , 0 , 0 ," $9.50 now","$10 in 365 days"
8036_1_Y2,SetA, 123 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 4 , 0 , 0 ," $8.50 now","$10 now"
8036_1_Y2,SetA, 124 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 11 , 0 , 0 ," $5.00 now","$10 now"
8036_1_Y2,SetA, 125 ,52986.110,255.856,0.202,  1.435,  0.000,  3.307,   2 , 22 , 1 , 0 ,"$10 in 30 days"," $0.00 now"
8036_1_Y2,SetA, 126 ,52989.800,259.551,0.001,  0.000,  2.138,  3.760,   1 , 20 , 2 , 0 ," $0.50 now","$10 in 7 days"
8036_1_Y2,SetA, 127 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 8 , 0 , 0 ," $6.50 now","$10 now"
8036_1_Y2,SetA, 128 ,52993.950,263.699,0.002,  0.000,  0.907,  1.609,   3 , 3 , 2 , 0 ,"$10 in 90 days"," $9.00 now"
8036_1_Y2,SetA, 129 ,52995.950,265.699,-0.001,  1.107,  0.000,  1.918,   2 , 10 , 1 , 0 ," $5.50 now","$10 in 30 days"
8036_1_Y2,SetA, 130 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 6 , 0 , 0 ," $7.50 now","$10 in 365 days"
8036_1_Y2,SetA, 131 ,52998.260,268.008,0.155,  0.000,  1.590,  2.339,   2 , 7 , 2 , 0 ," $7.00 now","$10 in 30 days"
8036_1_Y2,SetA, 132 ,53000.990,270.738,-0.001,  0.654,  0.000,  1.387,   2 , 12 , 1 , 0 ," $4.50 now","$10 in 30 days"
8036_1_Y2,SetA, 133 ,53002.770,272.516,-0.001,  0.795,  0.000,  1.388,   4 , 9 , 1 , 0 ," $6.00 now","$10 in 180 days"
8036_1_Y2,SetA, 134 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 15 , 0 , 0 ,"$10 in 365 days"," $3.00 now"
8036_1_Y2,SetA, 135 ,53004.540,274.293,0.001,  0.000,  2.653,  5.024,   0 , 2 , 2 , 0 ," $9.50 now","$10 now"
8036_1_Y2,SetA, 136 ,53009.960,279.707,0.062,  0.000,  1.264,  2.324,   1 , 19 , 2 , 0 ," $1.00 now","$10 in 7 days"
8036_1_Y2,SetA, 137 ,53012.670,282.422,0.202,  0.000,  1.045,  1.715,   2 , 4 , 2 , 0 ," $8.50 now","$10 in 30 days"
8036_1_Y2,SetA, 138 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 19 , 0 , 0 ," $1.00 now","$10 in 365 days"
